date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:56:36	81864/81864	U-----	200	untouched ('')	application/javascript	etag:W/%226530bce5-13fc8%22	https://demo.themefisher.com/elite-shop-bootstrap/plugins/bootstrap/bootstrap.min.js	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/plugins/bootstrap/bootstrap.min.js	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
12:56:38	44450/44450	U-----	200	untouched ('')	application/javascript	etag:W/%226530bce5-ada2%22	https://demo.themefisher.com/elite-shop-bootstrap/plugins/slick/slick.min.js	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/plugins/slick/slick.min.js	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
12:57:40	14239/14239	U-----	200	untouched ('')	application/javascript	etag:W/%226530bce5-379f%22	https://demo.themefisher.com/elite-shop-bootstrap/plugins/aos/aos.js	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/plugins/aos/aos.js	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
12:57:40	11184/11184	U-----	200	untouched ('')	application/javascript	etag:W/%226530bce5-2bb0%22	https://demo.themefisher.com/elite-shop-bootstrap/plugins/venobox/venobox.min.js	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/plugins/venobox/venobox.min.js	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
12:57:40	5453/5453	U-----	200	untouched ('')	application/javascript	etag:W/%226530bce5-154d%22	https://demo.themefisher.com/elite-shop-bootstrap/plugins/syotimer/jquery.syotimer.js	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/plugins/syotimer/jquery.syotimer.js	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
12:57:40	6784/6784	U-----	200	untouched ('')	application/javascript	etag:W/%226530bce5-1a80%22	https://demo.themefisher.com/elite-shop-bootstrap/plugins/instafeed/instafeed.min.js	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/plugins/instafeed/instafeed.min.js	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
13:00:32	17435/17435	U-----	200	untouched ('OK')	text/html	etag:W/%226530bce5-441b%22	https://demo.themefisher.com/elite-shop-bootstrap/order.html	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/order.html	(from https://demo.themefisher.com/elite-shop-bootstrap/dashboard.html)
13:00:32	16466/16466	U-----	200	untouched ('OK')	text/html	etag:W/%226530bce5-4052%22	https://demo.themefisher.com/elite-shop-bootstrap/profile-details.html	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/profile-details.html	(from https://demo.themefisher.com/elite-shop-bootstrap/dashboard.html)
13:00:45	84035/84035	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-14843%22	https://demo.themefisher.com/elite-shop-bootstrap/images/team/team-member-2.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/team/team-member-2.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/about.html)
13:00:45	76041/76041	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-12909%22	https://demo.themefisher.com/elite-shop-bootstrap/images/team/team-member-3.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/team/team-member-3.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/about.html)
13:00:46	33958/33958	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-84a6%22	https://demo.themefisher.com/elite-shop-bootstrap/images/avater.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/avater.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/dashboard.html)
13:00:46	75319/75319	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-12637%22	https://demo.themefisher.com/elite-shop-bootstrap/images/backgrounds/coming-soon.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/backgrounds/coming-soon.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/coming-soon.html)
13:00:48	363703/363703	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-58cb7%22	https://demo.themefisher.com/elite-shop-bootstrap/images/blog/blog-post-3.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/blog/blog-post-3.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/blog-grid.html)
13:00:48	301509/301509	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-499c5%22	https://demo.themefisher.com/elite-shop-bootstrap/images/blog/blog-post-4.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/blog/blog-post-4.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/blog-grid.html)
